id,full_name,url,forks_count,stargazers_count,watchers_count,language,open_issues_count,issues_url,issue_events_url,issue_comment_url
72706,jgm/gitit,https://api.github.com/repos/jgm/gitit,180,1634,1634,Haskell,186,https://api.github.com/repos/jgm/gitit/issues{/number},https://api.github.com/repos/jgm/gitit/issues/events{/number},https://api.github.com/repos/jgm/gitit/issues/comments{/number}
46234189,hadolint/hadolint,https://api.github.com/repos/hadolint/hadolint,72,1633,1633,Haskell,29,https://api.github.com/repos/hadolint/hadolint/issues{/number},https://api.github.com/repos/hadolint/hadolint/issues/events{/number},https://api.github.com/repos/hadolint/hadolint/issues/comments{/number}
44727837,haskell/haskell-ide-engine,https://api.github.com/repos/haskell/haskell-ide-engine,159,1522,1522,Haskell,189,https://api.github.com/repos/haskell/haskell-ide-engine/issues{/number},https://api.github.com/repos/haskell/haskell-ide-engine/issues/events{/number},https://api.github.com/repos/haskell/haskell-ide-engine/issues/comments{/number}
2616288,lamdu/lamdu,https://api.github.com/repos/lamdu/lamdu,57,1509,1509,Haskell,4,https://api.github.com/repos/lamdu/lamdu/issues{/number},https://api.github.com/repos/lamdu/lamdu/issues/events{/number},https://api.github.com/repos/lamdu/lamdu/issues/comments{/number}
5089764,mikeizbicki/HLearn,https://api.github.com/repos/mikeizbicki/HLearn,133,1464,1464,Haskell,25,https://api.github.com/repos/mikeizbicki/HLearn/issues{/number},https://api.github.com/repos/mikeizbicki/HLearn/issues/events{/number},https://api.github.com/repos/mikeizbicki/HLearn/issues/comments{/number}
5185084,ekmett/lens,https://api.github.com/repos/ekmett/lens,212,1438,1438,Haskell,73,https://api.github.com/repos/ekmett/lens/issues{/number},https://api.github.com/repos/ekmett/lens/issues/events{/number},https://api.github.com/repos/ekmett/lens/issues/comments{/number}
18277389,sdiehl/wiwinwlh,https://api.github.com/repos/sdiehl/wiwinwlh,169,1432,1432,Haskell,3,https://api.github.com/repos/sdiehl/wiwinwlh/issues{/number},https://api.github.com/repos/sdiehl/wiwinwlh/issues/events{/number},https://api.github.com/repos/sdiehl/wiwinwlh/issues/comments{/number}
3272927,valderman/haste-compiler,https://api.github.com/repos/valderman/haste-compiler,105,1321,1321,Haskell,59,https://api.github.com/repos/valderman/haste-compiler/issues{/number},https://api.github.com/repos/valderman/haste-compiler/issues/events{/number},https://api.github.com/repos/valderman/haste-compiler/issues/comments{/number}
3077100,scotty-web/scotty,https://api.github.com/repos/scotty-web/scotty,118,1294,1294,Haskell,57,https://api.github.com/repos/scotty-web/scotty/issues{/number},https://api.github.com/repos/scotty-web/scotty/issues/events{/number},https://api.github.com/repos/scotty-web/scotty/issues/comments{/number}
1335542,yi-editor/yi,https://api.github.com/repos/yi-editor/yi,182,1260,1260,Haskell,208,https://api.github.com/repos/yi-editor/yi/issues{/number},https://api.github.com/repos/yi-editor/yi/issues/events{/number},https://api.github.com/repos/yi-editor/yi/issues/comments{/number}
61973641,dmjio/miso,https://api.github.com/repos/dmjio/miso,84,1205,1205,Haskell,30,https://api.github.com/repos/dmjio/miso/issues{/number},https://api.github.com/repos/dmjio/miso/issues/events{/number},https://api.github.com/repos/dmjio/miso/issues/comments{/number}
638566,olivierverdier/zsh-git-prompt,https://api.github.com/repos/olivierverdier/zsh-git-prompt,295,1197,1197,Haskell,50,https://api.github.com/repos/olivierverdier/zsh-git-prompt/issues{/number},https://api.github.com/repos/olivierverdier/zsh-git-prompt/issues/events{/number},https://api.github.com/repos/olivierverdier/zsh-git-prompt/issues/comments{/number}
5134592,faylang/fay,https://api.github.com/repos/faylang/fay,89,1176,1176,Haskell,17,https://api.github.com/repos/faylang/fay/issues{/number},https://api.github.com/repos/faylang/fay/issues/events{/number},https://api.github.com/repos/faylang/fay/issues/comments{/number}
61802157,HuwCampbell/grenade,https://api.github.com/repos/HuwCampbell/grenade,66,1165,1165,Haskell,17,https://api.github.com/repos/HuwCampbell/grenade/issues{/number},https://api.github.com/repos/HuwCampbell/grenade/issues/events{/number},https://api.github.com/repos/HuwCampbell/grenade/issues/comments{/number}
41214544,xmonad/xmonad,https://api.github.com/repos/xmonad/xmonad,151,1137,1137,Haskell,51,https://api.github.com/repos/xmonad/xmonad/issues{/number},https://api.github.com/repos/xmonad/xmonad/issues/events{/number},https://api.github.com/repos/xmonad/xmonad/issues/comments{/number}
6297752,huangz1990/real-world-haskell-cn,https://api.github.com/repos/huangz1990/real-world-haskell-cn,172,1122,1122,Haskell,13,https://api.github.com/repos/huangz1990/real-world-haskell-cn/issues{/number},https://api.github.com/repos/huangz1990/real-world-haskell-cn/issues/events{/number},https://api.github.com/repos/huangz1990/real-world-haskell-cn/issues/comments{/number}
27440142,haskell-servant/servant,https://api.github.com/repos/haskell-servant/servant,248,1121,1121,Haskell,162,https://api.github.com/repos/haskell-servant/servant/issues{/number},https://api.github.com/repos/haskell-servant/servant/issues/events{/number},https://api.github.com/repos/haskell-servant/servant/issues/comments{/number}
71028374,tensorflow/haskell,https://api.github.com/repos/tensorflow/haskell,146,1117,1117,Haskell,30,https://api.github.com/repos/tensorflow/haskell/issues{/number},https://api.github.com/repos/tensorflow/haskell/issues/events{/number},https://api.github.com/repos/tensorflow/haskell/issues/comments{/number}
42377692,avh4/elm-format,https://api.github.com/repos/avh4/elm-format,112,1054,1054,Haskell,179,https://api.github.com/repos/avh4/elm-format/issues{/number},https://api.github.com/repos/avh4/elm-format/issues/events{/number},https://api.github.com/repos/avh4/elm-format/issues/comments{/number}
3728161,haskell/cabal,https://api.github.com/repos/haskell/cabal,464,990,990,Haskell,1172,https://api.github.com/repos/haskell/cabal/issues{/number},https://api.github.com/repos/haskell/cabal/issues/events{/number},https://api.github.com/repos/haskell/cabal/issues/comments{/number}
25432731,chrisdone/intero,https://api.github.com/repos/chrisdone/intero,124,944,944,Haskell,18,https://api.github.com/repos/chrisdone/intero/issues{/number},https://api.github.com/repos/chrisdone/intero/issues/events{/number},https://api.github.com/repos/chrisdone/intero/issues/comments{/number}
9301414,simonmichael/hledger,https://api.github.com/repos/simonmichael/hledger,152,944,944,Haskell,206,https://api.github.com/repos/simonmichael/hledger/issues{/number},https://api.github.com/repos/simonmichael/hledger/issues/events{/number},https://api.github.com/repos/simonmichael/hledger/issues/comments{/number}
3871325,GaloisInc/HaLVM,https://api.github.com/repos/GaloisInc/HaLVM,81,943,943,Haskell,36,https://api.github.com/repos/GaloisInc/HaLVM/issues{/number},https://api.github.com/repos/GaloisInc/HaLVM/issues/events{/number},https://api.github.com/repos/GaloisInc/HaLVM/issues/comments{/number}
8079216,quchen/articles,https://api.github.com/repos/quchen/articles,76,910,910,Haskell,4,https://api.github.com/repos/quchen/articles/issues{/number},https://api.github.com/repos/quchen/articles/issues/events{/number},https://api.github.com/repos/quchen/articles/issues/comments{/number}
21016984,google/codeworld,https://api.github.com/repos/google/codeworld,148,899,899,Haskell,198,https://api.github.com/repos/google/codeworld/issues{/number},https://api.github.com/repos/google/codeworld/issues/events{/number},https://api.github.com/repos/google/codeworld/issues/comments{/number}
13887438,BurntSushi/erd,https://api.github.com/repos/BurntSushi/erd,74,871,871,Haskell,17,https://api.github.com/repos/BurntSushi/erd/issues{/number},https://api.github.com/repos/BurntSushi/erd/issues/events{/number},https://api.github.com/repos/BurntSushi/erd/issues/comments{/number}
1977846,tonymorris/fp-course,https://api.github.com/repos/tonymorris/fp-course,1041,852,852,Haskell,17,https://api.github.com/repos/tonymorris/fp-course/issues{/number},https://api.github.com/repos/tonymorris/fp-course/issues/events{/number},https://api.github.com/repos/tonymorris/fp-course/issues/comments{/number}
7960131,diku-dk/futhark,https://api.github.com/repos/diku-dk/futhark,58,848,848,Haskell,33,https://api.github.com/repos/diku-dk/futhark/issues{/number},https://api.github.com/repos/diku-dk/futhark/issues/events{/number},https://api.github.com/repos/diku-dk/futhark/issues/comments{/number}
898407,tidalcycles/Tidal,https://api.github.com/repos/tidalcycles/Tidal,130,839,839,Haskell,72,https://api.github.com/repos/tidalcycles/Tidal/issues{/number},https://api.github.com/repos/tidalcycles/Tidal/issues/events{/number},https://api.github.com/repos/tidalcycles/Tidal/issues/comments{/number}
1367150,leksah/leksah,https://api.github.com/repos/leksah/leksah,107,834,834,Haskell,212,https://api.github.com/repos/leksah/leksah/issues{/number},https://api.github.com/repos/leksah/leksah/issues/events{/number},https://api.github.com/repos/leksah/leksah/issues/comments{/number}
1280014,bos/aeson,https://api.github.com/repos/bos/aeson,200,802,802,Haskell,70,https://api.github.com/repos/bos/aeson/issues{/number},https://api.github.com/repos/bos/aeson/issues/events{/number},https://api.github.com/repos/bos/aeson/issues/comments{/number}
94708460,adjoint-io/nanocoin,https://api.github.com/repos/adjoint-io/nanocoin,67,788,788,Haskell,0,https://api.github.com/repos/adjoint-io/nanocoin/issues{/number},https://api.github.com/repos/adjoint-io/nanocoin/issues/events{/number},https://api.github.com/repos/adjoint-io/nanocoin/issues/comments{/number}
