id,full_name,url,forks_count,stargazers_count,watchers_count,language,open_issues_count,issues_url,issue_events_url,issue_comment_url
22067521,ocornut/imgui,https://api.github.com/repos/ocornut/imgui,2012,14017,14017,C++,358,https://api.github.com/repos/ocornut/imgui/issues{/number},https://api.github.com/repos/ocornut/imgui/issues/events{/number},https://api.github.com/repos/ocornut/imgui/issues/comments{/number}
22394357,facebook/osquery,https://api.github.com/repos/facebook/osquery,1670,13872,13872,C++,526,https://api.github.com/repos/facebook/osquery/issues{/number},https://api.github.com/repos/facebook/osquery/issues/events{/number},https://api.github.com/repos/facebook/osquery/issues/comments{/number}
1116542,aria2/aria2,https://api.github.com/repos/aria2/aria2,1537,13652,13652,C++,541,https://api.github.com/repos/aria2/aria2/issues{/number},https://api.github.com/repos/aria2/aria2/issues/events{/number},https://api.github.com/repos/aria2/aria2/issues/comments{/number}
6934395,facebook/rocksdb,https://api.github.com/repos/facebook/rocksdb,2855,13111,13111,C++,288,https://api.github.com/repos/facebook/rocksdb/issues{/number},https://api.github.com/repos/facebook/rocksdb/issues/events{/number},https://api.github.com/repos/facebook/rocksdb/issues/comments{/number}
11171548,nlohmann/json,https://api.github.com/repos/nlohmann/json,2144,13055,13055,C++,31,https://api.github.com/repos/nlohmann/json/issues{/number},https://api.github.com/repos/nlohmann/json/issues/events{/number},https://api.github.com/repos/nlohmann/json/issues/comments{/number}
1093228,cocos2d/cocos2d-x,https://api.github.com/repos/cocos2d/cocos2d-x,6636,12891,12891,C++,1286,https://api.github.com/repos/cocos2d/cocos2d-x/issues{/number},https://api.github.com/repos/cocos2d/cocos2d-x/issues/events{/number},https://api.github.com/repos/cocos2d/cocos2d-x/issues/comments{/number}
96246170,ApolloAuto/apollo,https://api.github.com/repos/ApolloAuto/apollo,3883,12609,12609,C++,440,https://api.github.com/repos/ApolloAuto/apollo/issues{/number},https://api.github.com/repos/ApolloAuto/apollo/issues/events{/number},https://api.github.com/repos/ApolloAuto/apollo/issues/comments{/number}
5133949,swoole/swoole-src,https://api.github.com/repos/swoole/swoole-src,2534,12365,12365,C++,66,https://api.github.com/repos/swoole/swoole-src/issues{/number},https://api.github.com/repos/swoole/swoole-src/issues/events{/number},https://api.github.com/repos/swoole/swoole-src/issues/comments{/number}
4524181,facebook/folly,https://api.github.com/repos/facebook/folly,2973,12317,12317,C++,146,https://api.github.com/repos/facebook/folly/issues{/number},https://api.github.com/repos/facebook/folly/issues/events{/number},https://api.github.com/repos/facebook/folly/issues/comments{/number}
76222419,Tencent/mars,https://api.github.com/repos/Tencent/mars,2342,12088,12088,C++,54,https://api.github.com/repos/Tencent/mars/issues{/number},https://api.github.com/repos/Tencent/mars/issues/events{/number},https://api.github.com/repos/Tencent/mars/issues/comments{/number}
78186814,apache/incubator-weex,https://api.github.com/repos/apache/incubator-weex,1568,11901,11901,C++,57,https://api.github.com/repos/apache/incubator-weex/issues{/number},https://api.github.com/repos/apache/incubator-weex/issues/events{/number},https://api.github.com/repos/apache/incubator-weex/issues/comments{/number}
24420506,v8/v8,https://api.github.com/repos/v8/v8,2339,11813,11813,C++,2,https://api.github.com/repos/v8/v8/issues{/number},https://api.github.com/repos/v8/v8/issues/events{/number},https://api.github.com/repos/v8/v8/issues/comments{/number}
71576450,google/guetzli,https://api.github.com/repos/google/guetzli,973,11767,11767,C++,114,https://api.github.com/repos/google/guetzli/issues{/number},https://api.github.com/repos/google/guetzli/issues/events{/number},https://api.github.com/repos/google/guetzli/issues/comments{/number}
89247811,CMU-Perceptual-Computing-Lab/openpose,https://api.github.com/repos/CMU-Perceptual-Computing-Lab/openpose,3152,11506,11506,C++,75,https://api.github.com/repos/CMU-Perceptual-Computing-Lab/openpose/issues{/number},https://api.github.com/repos/CMU-Perceptual-Computing-Lab/openpose/issues/events{/number},https://api.github.com/repos/CMU-Perceptual-Computing-Lab/openpose/issues/comments{/number}
19953044,google/flatbuffers,https://api.github.com/repos/google/flatbuffers,1814,11457,11457,C++,379,https://api.github.com/repos/google/flatbuffers/issues{/number},https://api.github.com/repos/google/flatbuffers/issues/events{/number},https://api.github.com/repos/google/flatbuffers/issues/comments{/number}
18503721,facebook/yoga,https://api.github.com/repos/facebook/yoga,862,11408,11408,C++,186,https://api.github.com/repos/facebook/yoga/issues{/number},https://api.github.com/repos/facebook/yoga/issues/events{/number},https://api.github.com/repos/facebook/yoga/issues/comments{/number}
11892946,uglide/RedisDesktopManager,https://api.github.com/repos/uglide/RedisDesktopManager,1774,11208,11208,C++,57,https://api.github.com/repos/uglide/RedisDesktopManager/issues{/number},https://api.github.com/repos/uglide/RedisDesktopManager/issues/events{/number},https://api.github.com/repos/uglide/RedisDesktopManager/issues/comments{/number}
19416551,sqlitebrowser/sqlitebrowser,https://api.github.com/repos/sqlitebrowser/sqlitebrowser,1257,10832,10832,C++,312,https://api.github.com/repos/sqlitebrowser/sqlitebrowser/issues{/number},https://api.github.com/repos/sqlitebrowser/sqlitebrowser/issues/events{/number},https://api.github.com/repos/sqlitebrowser/sqlitebrowser/issues/comments{/number}
39840932,google/googletest,https://api.github.com/repos/google/googletest,4467,10730,10730,C++,80,https://api.github.com/repos/google/googletest/issues{/number},https://api.github.com/repos/google/googletest/issues/events{/number},https://api.github.com/repos/google/googletest/issues/comments{/number}
54360307,uNetworking/uWebSockets,https://api.github.com/repos/uNetworking/uWebSockets,945,10237,10237,C++,9,https://api.github.com/repos/uNetworking/uWebSockets/issues{/number},https://api.github.com/repos/uNetworking/uWebSockets/issues/events{/number},https://api.github.com/repos/uNetworking/uWebSockets/issues/comments{/number}
87335980,EOSIO/eos,https://api.github.com/repos/EOSIO/eos,3135,10136,10136,C++,244,https://api.github.com/repos/EOSIO/eos/issues{/number},https://api.github.com/repos/EOSIO/eos/issues/events{/number},https://api.github.com/repos/EOSIO/eos/issues/comments{/number}
60273704,mozilla/DeepSpeech,https://api.github.com/repos/mozilla/DeepSpeech,1687,9520,9520,C++,120,https://api.github.com/repos/mozilla/DeepSpeech/issues{/number},https://api.github.com/repos/mozilla/DeepSpeech/issues/events{/number},https://api.github.com/repos/mozilla/DeepSpeech/issues/comments{/number}
19374812,telegramdesktop/tdesktop,https://api.github.com/repos/telegramdesktop/tdesktop,2235,9020,9020,C++,961,https://api.github.com/repos/telegramdesktop/tdesktop/issues{/number},https://api.github.com/repos/telegramdesktop/tdesktop/issues/events{/number},https://api.github.com/repos/telegramdesktop/tdesktop/issues/comments{/number}
114187903,apple/foundationdb,https://api.github.com/repos/apple/foundationdb,676,8980,8980,C++,183,https://api.github.com/repos/apple/foundationdb/issues{/number},https://api.github.com/repos/apple/foundationdb/issues/events{/number},https://api.github.com/repos/apple/foundationdb/issues/comments{/number}
25449064,haoel/leetcode,https://api.github.com/repos/haoel/leetcode,3010,8977,8977,C++,36,https://api.github.com/repos/haoel/leetcode/issues{/number},https://api.github.com/repos/haoel/leetcode/issues/events{/number},https://api.github.com/repos/haoel/leetcode/issues/comments{/number}
27500243,googlei18n/libphonenumber,https://api.github.com/repos/googlei18n/libphonenumber,1109,8720,8720,C++,81,https://api.github.com/repos/googlei18n/libphonenumber/issues{/number},https://api.github.com/repos/googlei18n/libphonenumber/issues/events{/number},https://api.github.com/repos/googlei18n/libphonenumber/issues/comments{/number}
21929029,yangyangwithgnu/hardseed,https://api.github.com/repos/yangyangwithgnu/hardseed,1916,8719,8719,C++,33,https://api.github.com/repos/yangyangwithgnu/hardseed/issues{/number},https://api.github.com/repos/yangyangwithgnu/hardseed/issues/events{/number},https://api.github.com/repos/yangyangwithgnu/hardseed/issues/comments{/number}
65214191,envoyproxy/envoy,https://api.github.com/repos/envoyproxy/envoy,1276,8612,8612,C++,469,https://api.github.com/repos/envoyproxy/envoy/issues{/number},https://api.github.com/repos/envoyproxy/envoy/issues/events{/number},https://api.github.com/repos/envoyproxy/envoy/issues/comments{/number}
97646385,Microsoft/napajs,https://api.github.com/repos/Microsoft/napajs,316,8562,8562,C++,60,https://api.github.com/repos/Microsoft/napajs/issues{/number},https://api.github.com/repos/Microsoft/napajs/issues/events{/number},https://api.github.com/repos/Microsoft/napajs/issues/comments{/number}
59480719,CRYTEK/CRYENGINE,https://api.github.com/repos/CRYTEK/CRYENGINE,1646,8526,8526,C++,123,https://api.github.com/repos/CRYTEK/CRYENGINE/issues{/number},https://api.github.com/repos/CRYTEK/CRYENGINE/issues/events{/number},https://api.github.com/repos/CRYTEK/CRYENGINE/issues/comments{/number}
1062572,catchorg/Catch2,https://api.github.com/repos/catchorg/Catch2,1398,8518,8518,C++,186,https://api.github.com/repos/catchorg/Catch2/issues{/number},https://api.github.com/repos/catchorg/Catch2/issues/events{/number},https://api.github.com/repos/catchorg/Catch2/issues/comments{/number}
1217614,xbmc/xbmc,https://api.github.com/repos/xbmc/xbmc,4922,8467,8467,C++,362,https://api.github.com/repos/xbmc/xbmc/issues{/number},https://api.github.com/repos/xbmc/xbmc/issues/events{/number},https://api.github.com/repos/xbmc/xbmc/issues/comments{/number}
14095175,SFTtech/openage,https://api.github.com/repos/SFTtech/openage,833,8447,8447,C++,198,https://api.github.com/repos/SFTtech/openage/issues{/number},https://api.github.com/repos/SFTtech/openage/issues/events{/number},https://api.github.com/repos/SFTtech/openage/issues/comments{/number}
102343794,apache/incubator-brpc,https://api.github.com/repos/apache/incubator-brpc,1893,8265,8265,C++,78,https://api.github.com/repos/apache/incubator-brpc/issues{/number},https://api.github.com/repos/apache/incubator-brpc/issues/events{/number},https://api.github.com/repos/apache/incubator-brpc/issues/comments{/number}
112676803,apple/turicreate,https://api.github.com/repos/apple/turicreate,785,8226,8226,C++,291,https://api.github.com/repos/apple/turicreate/issues{/number},https://api.github.com/repos/apple/turicreate/issues/events{/number},https://api.github.com/repos/apple/turicreate/issues/comments{/number}
65711522,PaddlePaddle/Paddle,https://api.github.com/repos/PaddlePaddle/Paddle,2232,8219,8219,C++,780,https://api.github.com/repos/PaddlePaddle/Paddle/issues{/number},https://api.github.com/repos/PaddlePaddle/Paddle/issues/events{/number},https://api.github.com/repos/PaddlePaddle/Paddle/issues/comments{/number}
14259343,openalpr/openalpr,https://api.github.com/repos/openalpr/openalpr,1786,8177,8177,C++,380,https://api.github.com/repos/openalpr/openalpr/issues{/number},https://api.github.com/repos/openalpr/openalpr/issues/events{/number},https://api.github.com/repos/openalpr/openalpr/issues/comments{/number}
1234783,mobile-shell/mosh,https://api.github.com/repos/mobile-shell/mosh,510,8090,8090,C++,205,https://api.github.com/repos/mobile-shell/mosh/issues{/number},https://api.github.com/repos/mobile-shell/mosh/issues/events{/number},https://api.github.com/repos/mobile-shell/mosh/issues/comments{/number}
63037806,tekezo/Karabiner-Elements,https://api.github.com/repos/tekezo/Karabiner-Elements,510,8041,8041,C++,105,https://api.github.com/repos/tekezo/Karabiner-Elements/issues{/number},https://api.github.com/repos/tekezo/Karabiner-Elements/issues/events{/number},https://api.github.com/repos/tekezo/Karabiner-Elements/issues/comments{/number}
125098880,ValveSoftware/Proton,https://api.github.com/repos/ValveSoftware/Proton,269,7961,7961,C++,1629,https://api.github.com/repos/ValveSoftware/Proton/issues{/number},https://api.github.com/repos/ValveSoftware/Proton/issues/events{/number},https://api.github.com/repos/ValveSoftware/Proton/issues/comments{/number}
64991887,Microsoft/LightGBM,https://api.github.com/repos/Microsoft/LightGBM,2114,7927,7927,C++,91,https://api.github.com/repos/Microsoft/LightGBM/issues{/number},https://api.github.com/repos/Microsoft/LightGBM/issues/events{/number},https://api.github.com/repos/Microsoft/LightGBM/issues/comments{/number}
271714,wkhtmltopdf/wkhtmltopdf,https://api.github.com/repos/wkhtmltopdf/wkhtmltopdf,1117,7873,7873,C++,693,https://api.github.com/repos/wkhtmltopdf/wkhtmltopdf/issues{/number},https://api.github.com/repos/wkhtmltopdf/wkhtmltopdf/issues/events{/number},https://api.github.com/repos/wkhtmltopdf/wkhtmltopdf/issues/comments{/number}
6930489,facebook/watchman,https://api.github.com/repos/facebook/watchman,581,7684,7684,C++,68,https://api.github.com/repos/facebook/watchman/issues{/number},https://api.github.com/repos/facebook/watchman/issues/events{/number},https://api.github.com/repos/facebook/watchman/issues/comments{/number}
31522041,vnpy/vnpy,https://api.github.com/repos/vnpy/vnpy,3597,7643,7643,C++,44,https://api.github.com/repos/vnpy/vnpy/issues{/number},https://api.github.com/repos/vnpy/vnpy/issues/events{/number},https://api.github.com/repos/vnpy/vnpy/issues/comments{/number}
17391973,Tencent/rapidjson,https://api.github.com/repos/Tencent/rapidjson,2032,7319,7319,C++,353,https://api.github.com/repos/Tencent/rapidjson/issues{/number},https://api.github.com/repos/Tencent/rapidjson/issues/events{/number},https://api.github.com/repos/Tencent/rapidjson/issues/comments{/number}
6580000,Studio3T/robomongo,https://api.github.com/repos/Studio3T/robomongo,639,7261,7261,C++,591,https://api.github.com/repos/Studio3T/robomongo/issues{/number},https://api.github.com/repos/Studio3T/robomongo/issues/events{/number},https://api.github.com/repos/Studio3T/robomongo/issues/comments{/number}
81887991,Microsoft/AirSim,https://api.github.com/repos/Microsoft/AirSim,1871,7086,7086,C++,380,https://api.github.com/repos/Microsoft/AirSim/issues{/number},https://api.github.com/repos/Microsoft/AirSim/issues/events{/number},https://api.github.com/repos/Microsoft/AirSim/issues/comments{/number}
33014811,notepad-plus-plus/notepad-plus-plus,https://api.github.com/repos/notepad-plus-plus/notepad-plus-plus,2112,7038,7038,C++,2604,https://api.github.com/repos/notepad-plus-plus/notepad-plus-plus/issues{/number},https://api.github.com/repos/notepad-plus-plus/notepad-plus-plus/issues/events{/number},https://api.github.com/repos/notepad-plus-plus/notepad-plus-plus/issues/comments{/number}
345337,openframeworks/openFrameworks,https://api.github.com/repos/openframeworks/openFrameworks,2204,6773,6773,C++,912,https://api.github.com/repos/openframeworks/openFrameworks/issues{/number},https://api.github.com/repos/openframeworks/openFrameworks/issues/events{/number},https://api.github.com/repos/openframeworks/openFrameworks/issues/comments{/number}
18348651,OpenRCT2/OpenRCT2,https://api.github.com/repos/OpenRCT2/OpenRCT2,733,6763,6763,C++,996,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues{/number},https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/events{/number},https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/comments{/number}
16331291,davisking/dlib,https://api.github.com/repos/davisking/dlib,2020,6703,6703,C++,47,https://api.github.com/repos/davisking/dlib/issues{/number},https://api.github.com/repos/davisking/dlib/issues/events{/number},https://api.github.com/repos/davisking/dlib/issues/comments{/number}
40892817,ethereum/solidity,https://api.github.com/repos/ethereum/solidity,1812,6697,6697,C++,612,https://api.github.com/repos/ethereum/solidity/issues{/number},https://api.github.com/repos/ethereum/solidity/issues/events{/number},https://api.github.com/repos/ethereum/solidity/issues/comments{/number}
7711472,zealdocs/zeal,https://api.github.com/repos/zealdocs/zeal,524,6648,6648,C++,133,https://api.github.com/repos/zealdocs/zeal/issues{/number},https://api.github.com/repos/zealdocs/zeal/issues/events{/number},https://api.github.com/repos/zealdocs/zeal/issues/comments{/number}
116167731,yuzu-emu/yuzu,https://api.github.com/repos/yuzu-emu/yuzu,426,6606,6606,C++,100,https://api.github.com/repos/yuzu-emu/yuzu/issues{/number},https://api.github.com/repos/yuzu-emu/yuzu/issues/events{/number},https://api.github.com/repos/yuzu-emu/yuzu/issues/comments{/number}
25135037,symless/synergy-core,https://api.github.com/repos/symless/synergy-core,1609,6591,6591,C++,250,https://api.github.com/repos/symless/synergy-core/issues{/number},https://api.github.com/repos/symless/synergy-core/issues/events{/number},https://api.github.com/repos/symless/synergy-core/issues/comments{/number}
149111813,Tencent/MMKV,https://api.github.com/repos/Tencent/MMKV,624,6571,6571,C++,1,https://api.github.com/repos/Tencent/MMKV/issues{/number},https://api.github.com/repos/Tencent/MMKV/issues/events{/number},https://api.github.com/repos/Tencent/MMKV/issues/comments{/number}
29397594,ssloy/tinyrenderer,https://api.github.com/repos/ssloy/tinyrenderer,496,6456,6456,C++,3,https://api.github.com/repos/ssloy/tinyrenderer/issues{/number},https://api.github.com/repos/ssloy/tinyrenderer/issues/events{/number},https://api.github.com/repos/ssloy/tinyrenderer/issues/comments{/number}
42489883,alibaba/AndFix,https://api.github.com/repos/alibaba/AndFix,1580,6454,6454,C++,238,https://api.github.com/repos/alibaba/AndFix/issues{/number},https://api.github.com/repos/alibaba/AndFix/issues/events{/number},https://api.github.com/repos/alibaba/AndFix/issues/comments{/number}
79316451,TarsCloud/Tars,https://api.github.com/repos/TarsCloud/Tars,1577,6371,6371,C++,34,https://api.github.com/repos/TarsCloud/Tars/issues{/number},https://api.github.com/repos/TarsCloud/Tars/issues/events{/number},https://api.github.com/repos/TarsCloud/Tars/issues/comments{/number}
16096528,AudioKit/AudioKit,https://api.github.com/repos/AudioKit/AudioKit,987,6362,6362,C++,12,https://api.github.com/repos/AudioKit/AudioKit/issues{/number},https://api.github.com/repos/AudioKit/AudioKit/issues/events{/number},https://api.github.com/repos/AudioKit/AudioKit/issues/comments{/number}
60246359,yandex/ClickHouse,https://api.github.com/repos/yandex/ClickHouse,1066,6302,6302,C++,633,https://api.github.com/repos/yandex/ClickHouse/issues{/number},https://api.github.com/repos/yandex/ClickHouse/issues/events{/number},https://api.github.com/repos/yandex/ClickHouse/issues/comments{/number}
303762,acaudwell/Gource,https://api.github.com/repos/acaudwell/Gource,525,6291,6291,C++,67,https://api.github.com/repos/acaudwell/Gource/issues{/number},https://api.github.com/repos/acaudwell/Gource/issues/events{/number},https://api.github.com/repos/acaudwell/Gource/issues/comments{/number}
9090933,capnproto/capnproto,https://api.github.com/repos/capnproto/capnproto,519,6281,6281,C++,91,https://api.github.com/repos/capnproto/capnproto/issues{/number},https://api.github.com/repos/capnproto/capnproto/issues/events{/number},https://api.github.com/repos/capnproto/capnproto/issues/comments{/number}
6520784,RPCS3/rpcs3,https://api.github.com/repos/RPCS3/rpcs3,1090,6188,6188,C++,446,https://api.github.com/repos/RPCS3/rpcs3/issues{/number},https://api.github.com/repos/RPCS3/rpcs3/issues/events{/number},https://api.github.com/repos/RPCS3/rpcs3/issues/comments{/number}
