id,full_name,url,forks_count,stargazers_count,watchers_count,language,open_issues_count,issues_url,issue_events_url,issue_comment_url
1090311,elastic/logstash,https://api.github.com/repos/elastic/logstash,2663,9900,9900,Ruby,1408,https://api.github.com/repos/elastic/logstash/issues{/number},https://api.github.com/repos/elastic/logstash/issues/events{/number},https://api.github.com/repos/elastic/logstash/issues/comments{/number}
585285,gollum/gollum,https://api.github.com/repos/gollum/gollum,1449,9797,9797,Ruby,34,https://api.github.com/repos/gollum/gollum/issues{/number},https://api.github.com/repos/gollum/gollum/issues/events{/number},https://api.github.com/repos/gollum/gollum/issues/comments{/number}
4095287,rubocop-hq/rubocop,https://api.github.com/repos/rubocop-hq/rubocop,2037,9785,9785,Ruby,267,https://api.github.com/repos/rubocop-hq/rubocop/issues{/number},https://api.github.com/repos/rubocop-hq/rubocop/issues/events{/number},https://api.github.com/repos/rubocop-hq/rubocop/issues/comments{/number}
3314,spree/spree,https://api.github.com/repos/spree/spree,4256,9647,9647,Ruby,126,https://api.github.com/repos/spree/spree/issues{/number},https://api.github.com/repos/spree/spree/issues/events{/number},https://api.github.com/repos/spree/spree/issues/comments{/number}
341626,imathis/octopress,https://api.github.com/repos/imathis/octopress,2872,9521,9521,Ruby,267,https://api.github.com/repos/imathis/octopress/issues{/number},https://api.github.com/repos/imathis/octopress/issues/events{/number},https://api.github.com/repos/imathis/octopress/issues/comments{/number}
3195124,mperham/sidekiq,https://api.github.com/repos/mperham/sidekiq,1625,9387,9387,Ruby,20,https://api.github.com/repos/mperham/sidekiq/issues{/number},https://api.github.com/repos/mperham/sidekiq/issues/events{/number},https://api.github.com/repos/mperham/sidekiq/issues/comments{/number}
8393,thoughtbot/paperclip,https://api.github.com/repos/thoughtbot/paperclip,2048,9028,9028,Ruby,24,https://api.github.com/repos/thoughtbot/paperclip/issues{/number},https://api.github.com/repos/thoughtbot/paperclip/issues/events{/number},https://api.github.com/repos/thoughtbot/paperclip/issues/comments{/number}
1217404,jordansissel/fpm,https://api.github.com/repos/jordansissel/fpm,902,8992,8992,Ruby,567,https://api.github.com/repos/jordansissel/fpm/issues{/number},https://api.github.com/repos/jordansissel/fpm/issues/events{/number},https://api.github.com/repos/jordansissel/fpm/issues/comments{/number}
1653882,thoughtbot/bourbon,https://api.github.com/repos/thoughtbot/bourbon,912,8795,8795,Ruby,4,https://api.github.com/repos/thoughtbot/bourbon/issues{/number},https://api.github.com/repos/thoughtbot/bourbon/issues/events{/number},https://api.github.com/repos/thoughtbot/bourbon/issues/comments{/number}
88740103,atech/postal,https://api.github.com/repos/atech/postal,507,8782,8782,Ruby,283,https://api.github.com/repos/atech/postal/issues{/number},https://api.github.com/repos/atech/postal/issues/events{/number},https://api.github.com/repos/atech/postal/issues/comments{/number}
812393,ruby-grape/grape,https://api.github.com/repos/ruby-grape/grape,1075,8742,8742,Ruby,212,https://api.github.com/repos/ruby-grape/grape/issues{/number},https://api.github.com/repos/ruby-grape/grape/issues/events{/number},https://api.github.com/repos/ruby-grape/grape/issues/comments{/number}
361310,teamcapybara/capybara,https://api.github.com/repos/teamcapybara/capybara,1268,8702,8702,Ruby,8,https://api.github.com/repos/teamcapybara/capybara/issues{/number},https://api.github.com/repos/teamcapybara/capybara/issues/events{/number},https://api.github.com/repos/teamcapybara/capybara/issues/comments{/number}
1157388,tmuxinator/tmuxinator,https://api.github.com/repos/tmuxinator/tmuxinator,534,8694,8694,Ruby,80,https://api.github.com/repos/tmuxinator/tmuxinator/issues{/number},https://api.github.com/repos/tmuxinator/tmuxinator/issues/events{/number},https://api.github.com/repos/tmuxinator/tmuxinator/issues/comments{/number}
275604,resque/resque,https://api.github.com/repos/resque/resque,1561,8446,8446,Ruby,39,https://api.github.com/repos/resque/resque/issues{/number},https://api.github.com/repos/resque/resque/issues/events{/number},https://api.github.com/repos/resque/resque/issues/comments{/number}
73648678,thepracticaldev/dev.to,https://api.github.com/repos/thepracticaldev/dev.to,882,8441,8441,Ruby,255,https://api.github.com/repos/thepracticaldev/dev.to/issues{/number},https://api.github.com/repos/thepracticaldev/dev.to/issues/events{/number},https://api.github.com/repos/thepracticaldev/dev.to/issues/comments{/number}
611921,activeadmin/activeadmin,https://api.github.com/repos/activeadmin/activeadmin,2953,8333,8333,Ruby,237,https://api.github.com/repos/activeadmin/activeadmin/issues{/number},https://api.github.com/repos/activeadmin/activeadmin/issues/events{/number},https://api.github.com/repos/activeadmin/activeadmin/issues/comments{/number}
47087,carrierwaveuploader/carrierwave,https://api.github.com/repos/carrierwaveuploader/carrierwave,1475,8275,8275,Ruby,249,https://api.github.com/repos/carrierwaveuploader/carrierwave/issues{/number},https://api.github.com/repos/carrierwaveuploader/carrierwave/issues/events{/number},https://api.github.com/repos/carrierwaveuploader/carrierwave/issues/comments{/number}
129791,javan/whenever,https://api.github.com/repos/javan/whenever,676,7863,7863,Ruby,73,https://api.github.com/repos/javan/whenever/issues{/number},https://api.github.com/repos/javan/whenever/issues/events{/number},https://api.github.com/repos/javan/whenever/issues/comments{/number}
5200099,thoughtbot/guides,https://api.github.com/repos/thoughtbot/guides,1207,7786,7786,Ruby,5,https://api.github.com/repos/thoughtbot/guides/issues{/number},https://api.github.com/repos/thoughtbot/guides/issues/events{/number},https://api.github.com/repos/thoughtbot/guides/issues/comments{/number}
11423758,mame/quine-relay,https://api.github.com/repos/mame/quine-relay,378,7646,7646,Ruby,9,https://api.github.com/repos/mame/quine-relay/issues{/number},https://api.github.com/repos/mame/quine-relay/issues/events{/number},https://api.github.com/repos/mame/quine-relay/issues/comments{/number}
96395,stympy/faker,https://api.github.com/repos/stympy/faker,1920,7504,7504,Ruby,59,https://api.github.com/repos/stympy/faker/issues{/number},https://api.github.com/repos/stympy/faker/issues/events{/number},https://api.github.com/repos/stympy/faker/issues/comments{/number}
1918677,fluent/fluentd,https://api.github.com/repos/fluent/fluentd,877,7441,7441,Ruby,187,https://api.github.com/repos/fluent/fluentd/issues{/number},https://api.github.com/repos/fluent/fluentd/issues/events{/number},https://api.github.com/repos/fluent/fluentd/issues/comments{/number}
1333863,kaminari/kaminari,https://api.github.com/repos/kaminari/kaminari,954,7394,7394,Ruby,25,https://api.github.com/repos/kaminari/kaminari/issues{/number},https://api.github.com/repos/kaminari/kaminari/issues/events{/number},https://api.github.com/repos/kaminari/kaminari/issues/comments{/number}
